PeakID (cmd=TPR1_QuEST_peaks.bed tair10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
R-887	Chr1	19820034	19820654	+	137849	NA	TTS (AT1G53165.2)	TTS (AT1G53165.2)	1908	AT1G53170.1	841751	At.4604	NM_104196		ERF8	ATERF-8|ATERF8|ERF TRANSCRIPTION FACTOR8|ETHYLENE RESPONSE ELEMENT BINDING FACTOR 4|F8L10.19|ethylene response factor 8	ethylene-responsive transcription factor 8	protein-coding
R-890	Chr5	3191827	3192306	+	137849	NA	Intergenic	Intergenic	-1078	AT5G10180.1	830882	At.25140	NM_121056		SULTR2;1	ARABIDOPSIS SULFATE TRANSPORTER 68|AST68|slufate transporter 2;1	sulfate transporter 2.1	protein-coding
R-896	Chr4	12769534	12769936	+	137247	NA	TTS (AT4G24780.2)	TTS (AT4G24780.2)	-1695	AT4G24770.1	828579	At.70990	NM_118610		RBP31	31-kDa RNA binding protein|APPROXIMATELY 31 KD|ARABIDOPSIS THALIANA RNA BINDING PROTEIN|ATRBP31|ATRBP33|CP31|F6I7.11|STEP1	ribonucleoprotein	protein-coding
R-898	Chr3	22947857	22948218	+	137247	NA	promoter-TSS (AT3G61962.1)	promoter-TSS (AT3G61962.1)	-804	AT3G61962.1	6241169	At.73545	NM_001125415		AT3G61962	-	Putative membrane lipoprotein	protein-coding
R-895	Chr5	9631142	9631545	+	137247	NA	TTS (AT5G27320.1)	TTS (AT5G27320.1)	2256	AT5G27320.1	832790	At.22176	NM_122614		GID1C	ATGID1C|F21A20.30|F21A20_30|GA INSENSITIVE DWARF1C	putative gibberellin receptor GID1L3	protein-coding
R-897	Chr4	8273660	8274214	+	137247	NA	promoter-TSS (AT4G14365.1)	promoter-TSS (AT4G14365.1)	-172	AT4G14365.1	827080	At.23786	NM_117514		XBAT34	XB3 ortholog 4 in Arabidopsis thaliana	putative E3 ubiquitin-protein ligase XBAT34	protein-coding
R-899	Chr3	6190211	6191194	+	137247	NA	promoter-TSS (AT3G18080.1)	promoter-TSS (AT3G18080.1)	-855	AT3G18080.1	821333	At.21649	NM_112690		BGLU44	B-S glucosidase 44	beta-glucosidase 44	protein-coding
R-894	Chr5	26124363	26124664	+	137247	NA	intron (AT5G65380.1, intron 5 of 8)	intron (AT5G65380.1, intron 5 of 8)	1926	AT5G65380.1	836663	At.28742	NM_125936		AT5G65380	MNA5.11|MNA5_11	mate efflux domain-containing protein	protein-coding
R-908	Chr2	13646998	13647316	+	136645	NA	promoter-TSS (AT2G32100.1)	promoter-TSS (AT2G32100.1)	-695	AT2G32100.1	817770	At.13603	NM_128770		OFP16	ATOFP16|F22D22.15|F22D22_15|RABIDOPSIS THALIANA OVATE FAMILY PROTEIN 16|ovate family protein 16	ovate family protein 16	protein-coding
R-902	Chr1	9952703	9953742	+	136645	NA	TTS (AT1G28360.1)	TTS (AT1G28360.1)	1374	AT1G28360.1	839732	At.40906	NM_102602		ERF12	ATERF12|ERF DOMAIN PROTEIN 12|ERF domain protein 12|F3M18.21|F3M18_21	ethylene-responsive transcription factor 12	protein-coding
R-901	Chr1	12056390	12057206	+	136645	NA	TTS (AT1G33250.1)	TTS (AT1G33250.1)	-2252	AT1G33240.1	840218	At.28206	NM_103052		GTL1	AT-GTL1|AT-GTL2|GT-2-like 1|GT2-LIKE 1|GT2-LIKE 2|T9L6.10|T9L6_10	protein GT-2-like 1	protein-coding
R-910	Chr2	1145630	1146217	+	136645	NA	Intergenic	Intergenic	-1935	AT2G03740.1	814901	At.41376	NM_126421		AT2G03740	F19B11.19|F19B11_19	late embryogenesis abundant domain-containing protein	protein-coding
R-903	Chr1	9043794	9044533	+	136645	NA	promoter-TSS (AT1G26150.1)	promoter-TSS (AT1G26150.1)	-875	AT1G26150.1	839156	At.43483	NM_102380		PERK10	ATPERK10|F28B23.17|F28B23_17|proline-rich extensin-like receptor kinase 10	proline-rich extensin-like receptor kinase 10	protein-coding
R-906	Chr5	3444409	3445127	+	136645	NA	TTS (AT5G10920.1)	TTS (AT5G10920.1)	2346	AT5G10930.1	830960	At.6016	NM_121131		CIPK5	CBL-INTERACTING PROTEIN KINASE 5|CBL-interacting protein kinase 5|SNF1-RELATED PROTEIN KINASE 3.24|SnRK3.24|T30N20.200|T30N20_200	CBL-interacting serine/threonine-protein kinase 5	protein-coding
R-905	Chr5	18900215	18900580	+	136645	NA	promoter-TSS (AT5G46580.1)	promoter-TSS (AT5G46580.1)	-752	AT5G46580.1	834701	At.65647	NM_124028		AT5G46580	F10E10.5|F10E10_5	pentatricopeptide repeat-containing protein	protein-coding
R-907	Chr4	8907530	8908078	+	136645	NA	promoter-TSS (AT4G15590.1)	promoter-TSS (AT4G15590.1)	-549	AT4G15590.1	3770245				AT4G15590	DL3835C|FCAALL.338	pseudo	pseudo
R-900	Chr1	19211779	19212745	+	136645	NA	promoter-TSS (AT1G51790.1)	promoter-TSS (AT1G51790.1)	-845	AT1G51790.1	841605	At.37749	NM_104058		AT1G51790	F19C24.24|F19C24_24	leucine-rich repeat protein kinase-like protein	protein-coding
R-909	Chr2	10308248	10308508	+	136645	NA	Intergenic	Intergenic	-2270	AT2G24240.1	816958	At.39188	NM_127985		AT2G24240	F27D4.15|F27D4_15	BTB/POZ domain with WD40/YVTN repeat-containing protein	protein-coding
R-904	Chr1	2755096	2756094	+	136645	NA	Intergenic	Intergenic	3439	AT1G08650.1	837387	At.46809	NM_001198012		PPCK1	ATPPCK1|PHOSPHOENOLPYRUVATE CARBOXYLASE KINASE|PHOSPHOENOLPYRUVATE CARBOXYLASE KINASE 1|phosphoenolpyruvate carboxylase kinase 1	phosphoenolpyruvate carboxylase kinase 1	protein-coding
R-924	Chr3	22326153	22326817	+	136043	NA	Intergenic	Intergenic	-2607	AT3G60400.1	825211	At.34455	NM_115904		AT3G60400	-	Mitochondrial transcription termination factor family protein	protein-coding
R-912	Chr1	24847385	24847561	+	136043	NA	promoter-TSS (AT1G66600.1)	promoter-TSS (AT1G66600.1)	-847	AT1G66600.1	842978	At.28325	NM_105331		ABO3	ABA overly sensitive mutant 3|ATWRKY63|T12I7.5|T12I7_5|WRKY DNA-binding protein 63|WRKY63	putative WRKY transcription factor 63	protein-coding
R-919	Chr4	17605227	17605725	+	136043	NA	promoter-TSS (AT4G37445.1)	promoter-TSS (AT4G37445.1)	-543	AT4G37445.1	829899	At.31250	NM_119908		AT4G37445	-	hypothetical protein	protein-coding
R-926	Chr2	10824936	10825488	+	136043	NA	TTS (AT2G25430.1)	TTS (AT2G25430.1)	-1523	AT2G25440.1	817082	At.52911	NM_128101		RLP20	AtRLP20|F13B15.10|F13B15_10|receptor like protein 20	receptor like protein 20	protein-coding
R-923	Chr4	11178707	11179310	+	136043	NA	TTS (AT4G20880.1)	TTS (AT4G20880.1)	1791	AT4G20880.1	827836	At.74105	NM_118206		AT4G20880	T13K14.40|T13K14_40	ethylene-responsive/regulated nuclear protein	protein-coding
R-921	Chr4	14002091	14002910	+	136043	NA	promoter-TSS (AT4G28250.1)	promoter-TSS (AT4G28250.1)	-431	AT4G28250.2	828940	At.23110	NM_001084985		EXPB3	ATEXPB3|ATHEXP BETA 1.6|F26K10.130|F26K10_130|expansin B3	expansin B3	protein-coding
R-916	Chr5	21754874	21755258	+	136043	NA	promoter-TSS (AT5G53550.1)	promoter-TSS (AT5G53550.1)	-225	AT5G53550.2	835437	At.49426	NM_001203603		YSL3	ATYSL3|MNC6.9|MNC6_9|YELLOW STRIPE LIKE 3|YELLOW STRIPE like 3	metal-nicotianamine transporter YSL3	protein-coding
R-925	Chr3	8167125	8168031	+	136043	NA	Intergenic	Intergenic	3628	AT3G22990.1	821873	At.37780	NM_113199		LFR	LEAF AND FLOWER RELATED	leaf and flower related protein	protein-coding
R-914	Chr1	8193165	8194046	+	136043	NA	Intergenic	Intergenic	-2171	AT1G23100.1	838918	At.50783	NM_102158		AT1G23100	T26J12.12|T26J12_12	GroES-like protein	protein-coding
R-913	Chr1	23102386	23102925	+	136043	NA	TTS (AT1G62420.1)	TTS (AT1G62420.1)	-1622	AT1G62422.1	5007832	At.71115	NM_001084290		AT1G62422	-	hypothetical protein	protein-coding
R-920	Chr4	16440367	16441083	+	136043	NA	promoter-TSS (AT4G34390.1)	promoter-TSS (AT4G34390.1)	-454	AT4G34390.1	829589	At.27827	NM_119604		XLG2	F10M10.160|F10M10_160|extra-large GTP-binding protein 2	extra-large GTP-binding protein 2	protein-coding
R-917	Chr5	19522071	19522552	+	136043	NA	TTS (AT5G48150.2)	TTS (AT5G48150.2)	-1783	AT5G48140.1	834866	At.7075	NM_124188		AT5G48140	MIF21.3|MIF21_3	putative polygalacturonase / pectinase	protein-coding
R-918	Chr5	15260657	15261002	+	136043	NA	promoter-TSS (AT5G38210.1)	promoter-TSS (AT5G38210.1)	-176	AT5G38210.1	833803	At.30426	NM_123182		AT5G38210	MXA21.10|MXA21_10	protein kinase-like protein	protein-coding
R-915	Chr5	26641240	26641778	+	136043	NA	promoter-TSS (AT5G66720.2)	promoter-TSS (AT5G66720.2)	-693	AT5G66720.1	836805	At.28853	NM_126070		AT5G66720	MSN2.11|MSN2_11	putative protein phosphatase 2C 80	protein-coding
R-922	Chr4	13677486	13678029	+	136043	NA	TTS (AT4G27310.1)	TTS (AT4G27310.1)	2119	AT4G27310.1	828839	At.28344	NM_118865		AT4G27310	M4I22.120|M4I22_120	B-box type zinc finger-containing protein	protein-coding
R-932	Chr3	20720	21910	+	135441	NA	TTS (AT3G01070.1)	TTS (AT3G01070.1)	1723	AT3G01070.1	821257	At.41330	NM_110972		ENODL16	AtENODL16|T4P13.25|T4P13_25|early nodulin-like protein 16	early nodulin-like protein 16	protein-coding
R-933	Chr2	8101961	8102534	+	135441	NA	Intergenic	Intergenic	4827	AT2G18690.2	816384	At.67780	NM_001084444		AT2G18690	MSF3.7|MSF3_7	hypothetical protein	protein-coding
R-927	Chr1	2712436	2712637	+	135441	NA	promoter-TSS (AT1G08570.4)	promoter-TSS (AT1G08570.4)	-347	AT1G08570.3	837379	At.24182	NM_001084022		ACHT4	atypical CYS HIS rich thioredoxin 4	thioredoxin-like 1-1	protein-coding
R-929	Chr5	8216445	8216633	+	135441	NA	promoter-TSS (AT5G24210.1)	promoter-TSS (AT5G24210.1)	-796	AT5G24210.1	832488	At.28489	NM_122327		AT5G24210	MOP9.2|MOP9_2	lipase class 3 family protein	protein-coding
R-930	Chr5	2502647	2503050	+	135441	NA	promoter-TSS (AT5G07830.1)	promoter-TSS (AT5G07830.1)	-475	AT5G07830.1	830676	At.48994	NM_120865		GUS2	AtGUS2|F13G24.30|glucuronidase 2	Heparanase-like protein 1	protein-coding
R-937	Chr1	6308440	6308912	+	134839	NA	promoter-TSS (AT1G18330.2)	promoter-TSS (AT1G18330.2)	-663	AT1G18330.1	838413	At.27131	NM_001123832		EPR1	EARLY-PHYTOCHROME-RESPONSIVE1|F15H18.16|F15H18_16|REVEILLE 7|RVE7	early-phytochrome-responsive1	protein-coding
R-935	Chr1	9648972	9649825	+	134839	NA	promoter-TSS (AT1G27730.1)	promoter-TSS (AT1G27730.1)	-325	AT1G27730.1	839666	At.24624	NM_102538		STZ	T22C5.18|T22C5_18|ZAT10|salt tolerance zinc finger	zinc finger protein STZ/ZAT10	protein-coding
R-943	Chr3	2345868	2346160	+	134839	NA	Intergenic	Intergenic	-1454	AT3G07350.1	819923	At.28250	NM_111614		AT3G07350	-	hypothetical protein	protein-coding
R-934	Chr1	11828899	11829254	+	134839	NA	intron (AT1G32700.1, intron 3 of 3)	intron (AT1G32700.1, intron 3 of 3)	1609	AT1G32700.2	840164	At.16977	NM_103004		AT1G32700	F6N18.8|F6N18_8	PLATZ transcription factor domain-containing protein	protein-coding
R-940	Chr5	19218125	19219157	+	134839	NA	promoter-TSS (AT5G47370.1)	promoter-TSS (AT5G47370.1)	-732	AT5G47370.1	834784	At.25127	NM_124108		HAT2	MQL5.23|MQL5_23	homeobox-leucine zipper protein HAT2	protein-coding
R-939	Chr5	20546438	20546681	+	134839	NA	Intergenic	Intergenic	-1806	AT5G50450.1	835113	At.24402	NM_124427		AT5G50450	MXI22.17|MXI22_17	MYND-type zinc finger protein	protein-coding
R-942	Chr5	266314	266744	+	134839	NA	promoter-TSS (AT5G01712.1)	promoter-TSS (AT5G01712.1)	-656	AT5G01715.1	3770700				AT5G01715	-	pseudo	pseudo
R-936	Chr1	6567782	6568077	+	134839	NA	promoter-TSS (AT1G19025.1)	promoter-TSS (AT1G19025.1)	-144	AT1G19020.1	838483	At.28474	NM_101759		AT1G19020	F14D16.17|F14D16_17	hypothetical protein	protein-coding
R-946	Chr2	496521	496747	+	134839	NA	intron (AT2G02060.1, intron 3 of 5)	intron (AT2G02060.1, intron 3 of 5)	1064	AT2G02060.1	814737	At.41520	NM_126267		AT2G02060	F14H20.13	transcription factor	protein-coding
R-953	Chr4	16483932	16484210	+	134237	NA	promoter-TSS (AT4G34480.1)	promoter-TSS (AT4G34480.1)	-76	AT4G34480.1	829599	At.48072	NM_119613		AT4G34480	T4L20.60|T4L20_60	glucan endo-1,3-beta-glucosidase 7	protein-coding
R-955	Chr2	13489650	13490637	+	134237	NA	promoter-TSS (AT2G31730.1)	promoter-TSS (AT2G31730.1)	-464	AT2G31730.1	817730	At.38180	NM_128731		AT2G31730	T9H9.27	basic helix-loop-helix domain-containing protein	protein-coding
R-951	Chr5	2838929	2839096	+	134237	NA	promoter-TSS (AT5G08710.1)	promoter-TSS (AT5G08710.1)	362	AT5G08712.1	3770611				MIR166C	MICRORNA 166|MIR166|microRNA166C	miscRNA	miscRNA
R-949	Chr1	4527298	4527892	+	134237	NA	Intergenic	Intergenic	-1531	AT1G13245.1	837884	At.11267	NM_148462		RTFL17	DEVIL 4|DVL4|ROTUNDIFOLIA like 17	ROTUNDIFOLIA like 17	protein-coding
R-950	Chr5	26095700	26097233	+	134237	NA	promoter-TSS (AT5G65300.1)	promoter-TSS (AT5G65300.1)	-695	AT5G65300.1	836655	At.9234	NM_125928		AT5G65300	MNA5.2|MNA5_2	hypothetical protein	protein-coding
R-954	Chr2	17331118	17331840	+	134237	NA	promoter-TSS (AT2G41550.1)	promoter-TSS (AT2G41550.1)	-306	AT2G41550.1	818753	At.69847	NM_129718		AT2G41550	T32G6.7|T32G6_7	Rho termination factor	protein-coding
R-948	Chr1	21060393	21060894	+	134237	NA	TTS (AT1G56250.1)	TTS (AT1G56250.1)	2352	AT1G56250.1	842078	At.66831	NM_104504		PP2-B14	AtPP2-B14|F14G9.14|F14G9_14|phloem protein 2-B14	F-box protein PP2-B14	protein-coding
R-956	Chr2	12185659	12185974	+	134237	NA	TTS (AT2G28500.1)	TTS (AT2G28500.1)	2326	AT2G28500.1	817398	At.50670	NM_128410		LBD11	LOB domain-containing protein 11|T17D12.6|T17D12_6	LOB domain-containing protein 11	protein-coding
R-960	Chr5	17711969	17712157	+	133635	NA	promoter-TSS (AT5G44020.1)	promoter-TSS (AT5G44020.1)	-346	AT5G44020.1	834425	At.25449	NM_123769		AT5G44020	MRH10.13|MRH10_13	HAD superfamily, subfamily IIIB acid phosphatase	protein-coding
R-958	Chr1	7339268	7339840	+	133635	NA	TTS (AT1G21000.1)	TTS (AT1G21000.1)	1735	AT1G21000.2	838694	At.21086	NM_001123850		AT1G21000	F9H16.1|F9H16_1	PLATZ transcription factor domain-containing protein	protein-coding
R-962	Chr4	14823180	14823847	+	133635	NA	Intergenic	Intergenic	-2921	AT4G30270.1	829150	At.75103	NM_119173		XTH24	F9N11.120|F9N11_120|MERI-5|MERI5B|MERISTEM 5|SEN4|SENESCENCE 4|meristem-5|xyloglucan endotransglucosylase/hydrolase 24	xyloglucan:xyloglucosyl transferase	protein-coding
R-964	Chr2	10118380	10119025	+	133635	NA	Intergenic	Intergenic	3378	AT2G23770.1	816909	At.39248	NM_127940		AT2G23770	F27L4.5|F27L4_5	lysin motif receptor-like kinase	protein-coding
R-959	Chr1	1312566	1312905	+	133635	NA	promoter-TSS (AT1G04690.1)	promoter-TSS (AT1G04690.1)	-829	AT1G04690.1	839450	At.23857	NM_100349		KAB1	K+ CHANNEL BETA SUBUNIT PROTEIN|KV-BETA1|POTASSIUM CHANNEL BETA SUBUNIT HOMOLOG|T1G11.6|T1G11_6|potassium channel beta subunit 1	potassium channel beta subunit 1	protein-coding
R-957	Chr1	29365919	29366234	+	133635	NA	TTS (AT1G78080.1)	TTS (AT1G78080.1)	1827	AT1G78080.1	844143	At.71798	NM_106457		RAP2.4	F28K19.29|F28K19_29|related to AP2 4	ethylene-responsive transcription factor RAP2-4	protein-coding
R-971	Chr3	87854	88380	+	133033	NA	TTS (AT3G01290.1)	TTS (AT3G01290.1)	1305	AT3G01290.1	821309	At.43760	NM_110995		AT3G01290	T22N4.8|T22N4_8	Hypersensitive-induced response protein 3	protein-coding
R-969	Chr5	21447506	21448091	+	133033	NA	promoter-TSS (AT5G52890.1)	promoter-TSS (AT5G52890.1)	-558	AT5G52890.2	835366	At.29589	NM_001203596		AT5G52890	MXC20.12|MXC20_12	AT hook motif-containing protein	protein-coding
R-967	Chr5	26298631	26298823	+	133033	NA	promoter-TSS (AT5G65730.1)	promoter-TSS (AT5G65730.1)	-305	AT5G65730.1	836702	At.23387	NM_125970		XTH6	MPA24.8|MPA24_8|xyloglucan endotransglucosylase/hydrolase 6	xyloglucan:xyloglucosyl transferase	protein-coding
R-968	Chr5	22245586	22246449	+	133033	NA	promoter-TSS (AT5G54770.1)	promoter-TSS (AT5G54770.1)	-575	AT5G54770.1	835567	At.24888	NM_124858		THI1	MBG8.3|MBG8_3|THI1 PROTEIN|THI4|THIAMINE4|THIAZOLE REQUIRING|TZ	thiazole biosynthetic enzyme	protein-coding
R-965	Chr1	26121015	26121609	+	133033	NA	promoter-TSS (AT1G69490.1)	promoter-TSS (AT1G69490.1)	-827	AT1G69490.1	843282	At.24919	NM_105616		NAP	ACTIVATED BY AP3/PI|ANAC029|ATNAP|Arabidopsis NAC domain containing protein 29|F10D13.14|F10D13_14|NAC-LIKE|NAC-like|activated by AP3/PI	NAC domain-containing protein 29	protein-coding
R-980	Chr2	17638429	17638930	+	132431	NA	promoter-TSS (AT2G42350.1)	promoter-TSS (AT2G42350.1)	-473	AT2G42350.1	818836	At.42716	NM_129797		AT2G42350	MHK10.7|MHK10_7	RING-H2 finger protein ATL40	protein-coding
R-973	Chr5	23053446	23054118	+	132431	NA	TTS (AT5G56975.1)	TTS (AT5G56975.1)	1062	AT5G56975.1	3771526				AT5G56975	67873.TRNA-VAL-1	tRNA	tRNA
R-977	Chr4	10223175	10224048	+	132431	NA	promoter-TSS (AT4G18540.1)	promoter-TSS (AT4G18540.1)	-583	AT4G18540.1	827586	At.51024	NM_117968		AT4G18540	F28J12.200|F28J12_200	hypothetical protein	protein-coding
R-982	Chr2	14888282	14888551	+	132431	NA	TTS (AT2G35360.1)	TTS (AT2G35360.1)	2431	AT2G35360.1	818103	At.37678	NM_129088		AT2G35360	T32F12.26|T32F12_26	ubiquitin-like protein	protein-coding
R-981	Chr2	15098846	15099167	+	132431	NA	Intergenic	Intergenic	-5755	AT2G35950.1	818168	At.37609	NM_129154		EDA12	F11F19.14|F11F19_14|embryo sac development arrest 12	embryo sac development arrest 12 protein	protein-coding
R-974	Chr5	19172908	19174305	+	132431	NA	promoter-TSS (AT5G47225.1)	promoter-TSS (AT5G47225.1)	-783	AT5G47220.1	834768	At.19731	NM_124093		ERF2	ATERF-2|ATERF2|ETHYLENE RESPONSE FACTOR- 2|ETHYLENE RESPONSIVE ELEMENT BINDING FACTOR 2|MQL5.7|MQL5_7|ethylene responsive element binding factor 2	ethylene-responsive transcription factor 2	protein-coding
R-976	Chr5	3047013	3047157	+	132431	NA	promoter-TSS (AT5G09805.1)	promoter-TSS (AT5G09805.1)	-133	AT5G09805.1	5008206	At.72152	NM_001085091		IDL3	inflorescence deficient in abscission (IDA)-like 3	protein IDA-LIKE 3	protein-coding
R-972	Chr1	8016042	8016601	+	132431	NA	promoter-TSS (AT1G22650.1)	promoter-TSS (AT1G22650.1)	195	AT1G22651.1	6240536	At.73868	NM_001123859		AT1G22651	-	hypothetical protein	protein-coding
R-991	Chr2	13007237	13007498	+	131829	NA	Intergenic	Intergenic	-1549	AT2G30530.1	817602	At.14722	NM_128605		AT2G30530	T6B20.12|T6B20_12	hypothetical protein	protein-coding
R-987	Chr4	12523106	12524536	+	131829	NA	promoter-TSS (AT4G24120.1)	promoter-TSS (AT4G24120.1)	-670	AT4G24120.1	828512	At.3668	NM_118544		YSL1	ATYSL1|T19F6.110|T19F6_110|YELLOW STRIPE LIKE 1|YELLOW STRIPE like 1	metal-nicotianamine transporter YSL1	protein-coding
R-984	Chr1	22057280	22058134	+	131829	NA	promoter-TSS (AT1G59910.1)	promoter-TSS (AT1G59910.1)	-655	AT1G59910.1	842285	At.74963	NM_104683		AT1G59910	F23H11.22|F23H11_22	formin-like protein 7	protein-coding
R-990	Chr2	17615143	17615314	+	131829	NA	Intergenic	Intergenic	-1709	AT2G42280.1	818829	At.43726	NM_129790		AT2G42280	T24P15.19|T24P15_19	transcription factor bHLH130	protein-coding
R-988	Chr3	4773979	4774357	+	131829	NA	intron (AT3G14310.1, intron 1 of 2)	intron (AT3G14310.1, intron 1 of 2)	951	AT3G14310.1	820651	At.74977	NM_112289		PME3	ATPME3|pectin methylesterase 3	pectinesterase 3	protein-coding
R-985	Chr1	19699236	19699534	+	131829	NA	promoter-TSS (AT1G52890.1)	promoter-TSS (AT1G52890.1)	-903	AT1G52890.1	841722	At.28621	NM_104167		NAC019	ANAC019|F14G24.16|F14G24_16|NAC domain containing protein 19	NAC domain-containing protein 19	protein-coding
R-998	Chr3	17908185	17908626	+	131227	NA	TTS (AT3G48350.1)	TTS (AT3G48350.1)	2120	AT3G48360.1	823994	At.67255	NM_114697		BT2	ATBT2|BTB and TAZ domain protein 2	BTB and TAZ domain protein 2	protein-coding
R-997	Chr3	18478672	18479273	+	131227	NA	Intergenic	Intergenic	-2138	AT3G49810.1	824143	At.71195	NM_114841		AT3G49810	-	U-box domain-containing protein 30	protein-coding
R-992	Chr1	29966081	29966276	+	131227	NA	promoter-TSS (AT1G79630.1)	promoter-TSS (AT1G79630.1)	-383	AT1G79630.3	844302	At.44013	NM_001036225		AT1G79630	F20B17.6|F20B17_6	putative protein phosphatase 2C 18	protein-coding
R-999	Chr3	16789530	16789979	+	131227	NA	promoter-TSS (AT3G45730.1)	promoter-TSS (AT3G45730.1)	-226	AT3G45730.1	823715	At.20289	NM_114442		AT3G45730	-	hypothetical protein	protein-coding
R-996	Chr4	17135511	17135938	+	131227	NA	Intergenic	Intergenic	3911	AT4G36220.1	829779	At.20230	NM_119790		FAH1	CYP84A1|F23E13.110|F23E13_110|FERULATE-5-HYDROXYLASE|ferulic acid 5-hydroxylase 1	ferulic acid 5-hydroxylase 1	protein-coding
R-994	Chr1	4451750	4451928	+	131227	NA	promoter-TSS (AT1G13060.2)	promoter-TSS (AT1G13060.2)	-373	AT1G13060.2	837863	At.22436	NM_001198049		PBE1	20S PROTEASOME BETA SUBUNIT PBE1|20S proteasome beta subunit E1|F3F19.8|F3F19_8	proteasome subunit beta type-5-A	protein-coding
R-1000	Chr1	26105767	26105983	+	130625	NA	promoter-TSS (AT1G69440.1)	promoter-TSS (AT1G69440.1)	-709	AT1G69440.1	843276	At.35421	NM_105611		AGO7	ARGONAUTE7|F10D13.11|F10D13_11|ZIP|ZIPPY	argonaute-like protein	protein-coding
R-1007	Chr4	17138409	17138654	+	130625	NA	intron (AT4G36220.1, intron 2 of 2)	intron (AT4G36220.1, intron 2 of 2)	1104	AT4G36220.1	829779	At.20230	NM_119790		FAH1	CYP84A1|F23E13.110|F23E13_110|FERULATE-5-HYDROXYLASE|ferulic acid 5-hydroxylase 1	ferulic acid 5-hydroxylase 1	protein-coding
R-1002	Chr5	17458757	17459204	+	130625	NA	promoter-TSS (AT5G43460.1)	promoter-TSS (AT5G43460.1)	-183	AT5G43450.1	834365	At.24162	NM_123711		AT5G43450	MWF20.16|MWF20_16	putative 2-oxoglutarate-dependent dioxygenase	protein-coding
R-1014	Chr2	11946542	11947652	+	130625	NA	Intergenic	Intergenic	-3493	AT2G28056.1	3768120				MIR172A	MICRORNA 172|MIR172|microRNA172A	ncRNA	ncRNA
R-1009	Chr3	18728699	18729033	+	130625	NA	promoter-TSS (AT3G50470.1)	promoter-TSS (AT3G50470.1)	-188	AT3G50470.1	824211	At.51002	NM_114907		HR3	INTRACELLULAR MILDEW A 10|MLA10|homolog of RPW8 3	RPW8-like protein 3	protein-coding
R-1010	Chr3	17501818	17502103	+	130625	NA	TTS (AT3G47490.3)	TTS (AT3G47490.3)	3623	AT3G47490.1	823903	At.35801	NM_001203098		AT3G47490	-	HNH endonuclease	protein-coding
R-1003	Chr5	3626993	3627183	+	130625	NA	promoter-TSS (AT5G11360.1)	promoter-TSS (AT5G11360.1)	-388	AT5G11360.1	831007	At.50450	NM_001085100		AT5G11360	F2I11.250|F2I11_250	Interleukin-1 receptor-associated kinase 4 protein	protein-coding
R-1005	Chr4	18472769	18473300	+	130625	NA	Intergenic	Intergenic	-1067	AT4G39800.1	830139	At.24599	NM_120143		MIPS1	ATIPS1|ATMIPS1|ATMIPS2|INOSITOL 3-PHOSPHATE SYNTHASE 1|MI-1-P SYNTHASE|MIPS2|MYO-INOSITOL-1-PHOSPHATE SYNTHASE|MYO-INOSITOL-1-PHOSTPATE SYNTHASE 1|MYO-INOSITOL-1-PHOSTPATE SYNTHASE 2|T19P19.190|T19P19_190|T5J17.3|myo-inositol-1-phosphate synthase 1|myo-inositol-1-phosphate synthase 2	inositol-3-phosphate synthase isozyme 1	protein-coding
R-1008	Chr4	14564376	14565077	+	130625	NA	promoter-TSS (AT4G29735.1)	promoter-TSS (AT4G29735.1)	-348	AT4G29735.2	829095	At.31892	NM_001160804		AT4G29735	-	hypothetical protein	protein-coding
R-1001	Chr5	26900260	26900444	+	130625	NA	Intergenic	Intergenic	-1255	AT5G67411.1	3771574	At.65711	NM_001037090		AT5G67411	-	putative scarecrow-like protein 16	protein-coding
R-1012	Chr2	19288379	19288507	+	130625	NA	promoter-TSS (AT2G46940.1)	promoter-TSS (AT2G46940.1)	-862	AT2G46940.1	819308	At.36428	NM_130262		AT2G46940	F14M4.23	hypothetical protein	protein-coding
R-1013	Chr2	12806306	12806470	+	130625	NA	intron (AT2G30010.1, intron 1 of 4)	intron (AT2G30010.1, intron 1 of 4)	664	AT2G30010.1	817552	At.12754	NM_128556		TBL45	F23F1.7|F23F1_7|TRICHOME BIREFRINGENCE-LIKE 45	trichome birefringence-like 45 protein	protein-coding
R-1011	Chr3	1703893	1704045	+	130625	NA	promoter-TSS (AT3G05750.1)	promoter-TSS (AT3G05750.1)	-151	AT3G05750.1	819744	At.40621	NM_001035570		AT3G05750	F10A16.3|F10A16_3	hypothetical protein	protein-coding
R-1006	Chr4	17539724	17540312	+	130625	NA	promoter-TSS (AT4G37260.1)	promoter-TSS (AT4G37260.1)	-472	AT4G37260.1	829880	At.74571	NM_119889		MYB73	AP22.97|AP22_97|ATMYB73|myb domain protein 73	myb domain protein 73	protein-coding
R-1004	Chr5	329153	329590	+	130625	NA	Intergenic	Intergenic	-2402	AT5G01849.1	6241287	At.73450	NM_001125680		AT5G01849	-	hypothetical protein	protein-coding
