PeakID (cmd=TPR1eds1_QuEST_peaks.bed tair10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
R-37	Chr3	21830367	21831631	+	44,4228	NA	promoter-TSS (AT3G59060.4)	promoter-TSS (AT3G59060.4)	-492	AT3G59060	825075	At.67329	NM_001035812		PIL6	PHYTOCHROME-INTERACTING FACTOR 5|PIF5|phytochrome interacting factor 3-like 6	transcription factor PIF5	protein-coding
R-370	Chr4	11178840	11179289	+	15,608	NA	TTS (AT4G20880.1)	TTS (AT4G20880.1)	1735	AT4G20880	827836	At.74105	NM_118206		AT4G20880	T13K14.40|T13K14_40	ethylene-responsive/regulated nuclear protein	protein-coding
R-372	Chr2	4312001	4312172	+	15,608	NA	promoter-TSS (AT2G10940.1)	promoter-TSS (AT2G10940.1)	17	AT2G10940	815558	At.26731	NM_126828		AT2G10940	F15K19.1|F15K19_1	bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like protein	protein-coding
R-373	Chr1	10648752	10649533	+	15,4989	NA	Intergenic	Intergenic	-1631	AT1G30250	839905	At.40586	NM_102764		AT1G30250	F12P21.5|F12P21_5	hypothetical protein	protein-coding
R-374	Chr1	3947808	3948165	+	15,4989	NA	promoter-TSS (AT1G11710.1)	promoter-TSS (AT1G11710.1)	-728	AT1G11710	837715	At.42116	NM_101043		AT1G11710	F25C20.14|F25C20_14	pentatricopeptide repeat-containing protein	protein-coding
R-375	Chr5	22245634	22246201	+	15,4989	NA	promoter-TSS (AT5G54770.1)	promoter-TSS (AT5G54770.1)	-675	AT5G54770	835567	At.24888	NM_124858		THI1	MBG8.3|MBG8_3|THI1 PROTEIN|THI4|THIAMINE4|THIAZOLE REQUIRING|TZ	thiazole biosynthetic enzyme	protein-coding
R-376	Chr5	266842	267086	+	15,4989	NA	promoter-TSS (AT5G01715.1)	promoter-TSS (AT5G01715.1)	-221	AT5G01715	3770700				AT5G01715	-	pseudo	pseudo
R-379	Chr1	29780712	29781030	+	15,3897	NA	promoter-TSS (AT1G79160.1)	promoter-TSS (AT1G79160.1)	-98	AT1G79160	844257	At.34163	NM_106567		AT1G79160	YUP8H12R.23|YUP8H12R_23	hypothetical protein	protein-coding
R-38	Chr3	1831971	1832382	+	44,3137	NA	promoter-TSS (AT3G06070.1)	promoter-TSS (AT3G06070.1)	-253	AT3G06070	819780	At.40573	NM_111482		AT3G06070	F24F17.5|F24F17_5	hypothetical protein	protein-coding
R-380	Chr1	28467337	28468053	+	15,3897	NA	promoter-TSS (AT1G75820.1)	promoter-TSS (AT1G75820.1)	-724	AT1G75820	843915	At.25465	NM_106232		CLV1	ATCLV1|CLAVATA 1|CLV1 RECEPTOR KINASE PRECURSOR|FAS3|FASCIATA 3|FLO5|FLOWER DEVELOPMENT 5|T4O12.5|T4O12_5	receptor protein kinase CLAVATA1	protein-coding
R-381	Chr1	27483812	27484508	+	15,3897	NA	promoter-TSS (AT1G73080.1)	promoter-TSS (AT1G73080.1)	-353	AT1G73080	843639	At.20127	NM_105966		PEPR1	ATPEPR1|F3N23.28|F3N23_28|PEP1 RECEPTOR 1|PEP1 receptor 1	leucine-rich repeat receptor-like protein kinase PEPR1	protein-coding
R-382	Chr1	6677582	6678065	+	15,3897	NA	promoter-TSS (AT1G19310.1)	promoter-TSS (AT1G19310.1)	-150	AT1G19310	838513	At.16708	NM_101788		AT1G19310	F18O14.3|F18O14_3	RING/U-box domain-containing protein	protein-coding
R-383	Chr1	2991756	2992165	+	15,3897	NA	Intergenic	Intergenic	-1444	AT1G09260	837447	At.51532	NM_100796		AT1G09260	T12M4.3|T12M4_3	Chaperone DnaJ-domain-containing protein	protein-coding
R-384	Chr3	16758700	16759170	+	15,3897	NA	promoter-TSS (AT3G45650.1)	promoter-TSS (AT3G45650.1)	-318	AT3G45650	823707	At.48737	NM_114434		NAXT1	nitrate excretion transporter1	nitrate excretion transporter1	protein-coding
R-385	Chr3	2015615	2016081	+	15,3897	NA	promoter-TSS (AT3G06510.1)	promoter-TSS (AT3G06510.1)	-482	AT3G06510	819829	At.11886	NM_001125119		SFR2	ATSFR2|F5E6.16|F5E6_16|SENSITIVE TO FREEZING 2	beta-glucosidase-like SFR2	protein-coding
R-386	Chr2	18786140	18786771	+	15,3897	NA	promoter-TSS (AT2G45590.1)	promoter-TSS (AT2G45590.1)	-203	AT2G45590	819167	At.75199	NM_130121		AT2G45590	F17K2.12	protein kinase-like protein	protein-coding
R-387	Chr2	16665147	16665891	+	15,3897	NA	promoter-TSS (AT2G39920.1)	promoter-TSS (AT2G39920.1)	-504	AT2G39930	818580	At.71018	NM_129551		ISA1	ARABIDOPSIS THALIANA ISOAMYLASE 1|ATISA1|T28M21.9|T28M21_9|isoamylase 1	isoamylase 1	protein-coding
R-388	Chr2	9085894	9086410	+	15,3897	NA	promoter-TSS (AT2G21210.1)	promoter-TSS (AT2G21210.1)	-243	AT2G21210	816658	At.20463	NM_127693		AT2G21210	F26H11.3|F26H11_3	SAUR-like auxin-responsive protein	protein-coding
R-392	Chr3	21409512	21410083	+	15,2806	NA	intron (AT3G57800.1, intron 4 of 7)	intron (AT3G57800.1, intron 4 of 7)	1815	AT3G57800	825530	At.34797	NM_115642		AT3G57800	AT3G57795	transcription factor bHLH60	protein-coding
R-393	Chr2	11247294	11247440	+	15,2806	NA	promoter-TSS (AT2G26440.1)	promoter-TSS (AT2G26440.1)	-16	AT2G26440	817184	At.38895	NM_128201		AT2G26440	T9J22.11|T9J22_11	pectinesterase 12	protein-coding
R-395	Chr1	7830320	7830574	+	15,1714	NA	promoter-TSS (AT1G22180.1)	promoter-TSS (AT1G22180.1)	-55	AT1G22180	838823	At.43225	NM_102068		AT1G22180	F16L1.9|F16L1_9	sec.4-like phosphatidylinositol transfer protein	protein-coding
R-396	Chr5	24976921	24977419	+	15,1714	NA	Intergenic	Intergenic	-1621	AT5G62170	836338	At.29066	NM_125611		AT5G62170	MTG10.21|MTG10_21	hypothetical protein	protein-coding
R-397	Chr3	20685258	20685509	+	15,1714	NA	Intergenic	Intergenic	-1330	AT3G55730	824739	At.1704	NM_115431		MYB109	AtMYB109|myb domain protein 109	myb domain protein 109	protein-coding
R-398	Chr5	23840668	23840974	+	15,0623	NA	3' UTR (AT5G59050.2, exon 2 of 3)	3' UTR (AT5G59050.2, exon 2 of 3)	1838	AT5G59050	836022	At.27245	NM_125295		AT5G59050	K18B18.4|K18B18_4	hypothetical protein	protein-coding
R-399	Chr4	11629534	11629996	+	15,0623	NA	promoter-TSS (AT4G21910.2)	promoter-TSS (AT4G21910.2)	-348	AT4G21910	828280	At.22674	NM_001203864		AT4G21910	T8O5.120|T8O5_120	mate efflux domain-containing protein	protein-coding
R-40	Chr2	18523323	18523853	+	43,8771	NA	promoter-TSS (AT2G44920.2)	promoter-TSS (AT2G44920.2)	-799	AT2G44920	819101	At.12323	NM_130056		AT2G44920	T13E15.7	thylakoid lumenal protein 1	protein-coding
R-400	Chr4	6862209	6862536	+	15,0623	NA	Intergenic	Intergenic	-1725	AT4G11280	826730	At.3654	NM_117199		ACS6	1-aminocyclopropane-1-carboxylic acid (acc) synthase 6|ATACS6|F8L21.70|F8L21_70	1-aminocyclopropane-1-carboxylate synthase 6	protein-coding
R-402	Chr2	16824921	16825420	+	15,0623	NA	promoter-TSS (AT2G40270.2)	promoter-TSS (AT2G40270.2)	-664	AT2G40270	818619	At.43577	NM_129585		AT2G40270	T7M7.19	Protein kinase family protein	protein-coding
R-405	Chr5	22651115	22651562	+	14,9531	NA	Intergenic	Intergenic	-1377	AT5G55930	835691	At.49180	NM_124975		OPT1	ARABIDOPSIS THALIANA OLIGOPEPTIDE TRANSPORTER 1|ATOPT1|MYN21.4|MYN21_4|oligopeptide transporter 1	oligopeptide transporter 1	protein-coding
R-406	Chr5	8993001	8993483	+	14,9531	NA	Intergenic	Intergenic	-5455	AT5G25810	832650	At.5373	NM_122482		tny	F18A17.60|F18A17_60|TINY	ethylene-responsive transcription factor TINY	protein-coding
R-407	Chr5	6458041	6458422	+	14,9531	NA	promoter-TSS (AT5G19200.1)	promoter-TSS (AT5G19200.1)	-722	AT5G19200	832040	At.31321	NM_121925		AT5G19200	T24G5.100|T24G5_100	Rossmann-fold NAD(P)-binding domain-containing protein	protein-coding
R-408	Chr4	17735235	17735553	+	14,9531	NA	Intergenic	Intergenic	-4120	AT4G37750	829931	At.1556	NM_119937		ANT	AINTEGUMENTA|CKC|CKC1|COMPLEMENTING A PROTEIN KINASE C MUTANT 1|DRAGON|DRG|T28I19.30|T28I19_30	AP2-like ethylene-responsive transcription factor ANT	protein-coding
R-410	Chr3	22326144	22326557	+	14,9531	NA	Intergenic	Intergenic	-2742	AT3G60400	825211	At.34455	NM_115904		AT3G60400	-	Mitochondrial transcription termination factor family protein	protein-coding
R-413	Chr3	220907	221041	+	14,9531	NA	TTS (AT3G01570.1)	TTS (AT3G01570.1)	1392	AT3G01560	821110	At.27559	NM_111022		AT3G01560	F4P13.11|F4P13_11	hypothetical protein	protein-coding
R-415	Chr2	15417634	15417811	+	14,9531	NA	promoter-TSS (AT2G36770.1)	promoter-TSS (AT2G36770.1)	-956	AT2G36770	818249	At.37508	NM_129232		AT2G36770	F13K3.17|F13K3_17	UDP-glucosyl transferase 73C	protein-coding
R-416	Chr1	30238325	30238772	+	14,844	NA	promoter-TSS (AT1G80420.1)	promoter-TSS (AT1G80420.1)	-13	AT1G80420	844382	At.75584	NM_001084387		ATXRCC1	T21F11.25|T21F11_25	DNA-repair protein XRCC1	protein-coding
R-417	Chr1	27340057	27340715	+	14,844	NA	promoter-TSS (AT1G72620.1)	promoter-TSS (AT1G72620.1)	-342	AT1G72610	843593	At.75222	NM_105920		GER1	A. THALIANA GERMIN-LIKE PROTEIN 1|ATGER1|F28P22.20|F28P22_20|GERMIN-LIKE PROTEIN 1|GLP1|germin-like protein 1	germin-like protein subfamily 3 member 1	protein-coding
R-418	Chr1	25877404	25877972	+	14,844	NA	Intergenic	Intergenic	-2138	AT1G68830	843215	At.27657	NM_105557		STN7	STT7 homolog STN7|T6L1.2|T6L1_2	serine/threonine-protein kinase SNT7	protein-coding
R-419	Chr1	20817979	20818335	+	14,844	NA	Intergenic	Intergenic	-3444	AT1G55700	842019	At.66035	NM_104446		AT1G55700	F20N2.12	cysteine/histidine-rich C1 domain-containing protein	protein-coding
R-42	Chr3	8593909	8594730	+	43,1131	NA	Intergenic	Intergenic	-4606	AT3G23810	821964	At.67005	NM_113286		SAHH2	ATSAHH2|S-ADENOSYL-L-HOMOCYSTEINE (SAH) HYDROLASE 2|S-adenosyl-l-homocysteine (SAH) hydrolase 2	adenosylhomocysteinase 2	protein-coding
R-420	Chr1	5641434	5641853	+	14,844	NA	Intergenic	Intergenic	2611	AT1G16500	838220	At.41880	NM_101515		AT1G16500	F3O9.30|F3O9_30	hypothetical protein	protein-coding
R-421	Chr4	11560817	11561175	+	14,844	NA	promoter-TSS (AT4G21760.1)	promoter-TSS (AT4G21760.1)	-233	AT4G21760	828264	At.32601	NM_118296		BGLU47	F17L22.220|F17L22_220|beta-glucosidase 47	beta-glucosidase 47	protein-coding
R-422	Chr4	10840179	10840604	+	14,844	NA	TTS (AT4G20006.1)	TTS (AT4G20006.1)	705	AT4G20006	6240456	At.73489	NM_001125545		AT4G20006	-	hypothetical protein	protein-coding
R-424	Chr3	2007552	2007934	+	14,844	NA	Intergenic	Intergenic	-4336	AT3G06500	819828	At.40513	NM_111526		AT3G06500	F5E6.17|F5E6_17	putative neutral invertase	protein-coding
R-425	Chr3	545692	545912	+	14,844	NA	promoter-TSS (AT3G02570.1)	promoter-TSS (AT3G02570.1)	-207	AT3G02570	820656	At.24147	NM_111125		MEE31	F16B3.20|F16B3_20|MATERNAL EFFECT EMBRYO ARREST 31|PHOSPHOMANNOSE ISOMERASE 1|PMI1	mannose-6-phosphate isomerase	protein-coding
R-426	Chr1	25464157	25464778	+	14,7348	NA	promoter-TSS (AT1G67900.2)	promoter-TSS (AT1G67900.2)	-259	AT1G67900	843118	At.67363	NM_001198418		AT1G67900	T23K23.25|T23K23_25	phototropic-responsive NPH3-like protein	protein-coding
R-427	Chr1	25417453	25417720	+	14,7348	NA	promoter-TSS (AT1G67792.1)	promoter-TSS (AT1G67792.1)	-23	AT1G67792	6240628				AT1G67792	-	ncRNA	ncRNA
R-428	Chr1	24349049	24349378	+	14,7348	NA	promoter-TSS (AT1G65486.1)	promoter-TSS (AT1G65486.1)	-310	AT1G65486	6240283	At.47651	NM_001124079		AT1G65486	-	hypothetical protein	protein-coding
R-429	Chr1	23706045	23706467	+	14,7348	NA	promoter-TSS (AT1G63860.1)	promoter-TSS (AT1G63860.1)	-251	AT1G63860	3767624	At.47650	NM_001160971		AT1G63860	T12P18.12	TIR-NBS-LRR class disease resistance protein	protein-coding
R-430	Chr1	10145948	10146348	+	14,7348	NA	Intergenic	Intergenic	-1545	AT1G29060	839780	At.40818	NM_102647		AT1G29060	F28N24.23|F28N24_23	protein transport protein SFT1	protein-coding
R-431	Chr1	5945569	5945809	+	14,7348	NA	Intergenic	Intergenic	-1075	AT1G17360	838308	At.51648	NM_101597		AT1G17360	F28G4.18|F28G4_18	hypothetical protein	protein-coding
R-433	Chr5	25436857	25437258	+	14,7348	NA	Intergenic	Intergenic	3716	AT5G63530	836472	At.10973	NM_001085321		FP3	ARABIDOPSIS THALIANA FARNESYLATED PROTEIN 3|ATFP3|MLE2.16|MLE2_16|farnesylated protein 3	farnesylated protein 3	protein-coding
R-434	Chr4	15580525	15580808	+	14,7348	NA	promoter-TSS (AT4G32272.2)	promoter-TSS (AT4G32272.2)	-786	AT4G32272	5008177	At.71204	NM_001085010		AT4G32272	-	UDP-sugar transporter-like protein	protein-coding
R-435	Chr4	12156947	12157305	+	14,7348	NA	promoter-TSS (AT4G23220.1)	promoter-TSS (AT4G23220.1)	-35	AT4G23220	828421	At.2200	NM_118451		CRK14	F21P8.110|F21P8_110|cysteine-rich RLK (RECEPTOR-like protein kinase) 14	cysteine-rich receptor-like protein kinase 14	protein-coding
R-436	Chr4	9873979	9874137	+	14,7348	NA	promoter-TSS (AT4G17765.1)	promoter-TSS (AT4G17765.1)	-475	AT4G17765	3770488				AT4G17765	68169.TRNA-TRP-2	tRNA	tRNA
R-437	Chr2	16586968	16587235	+	14,7348	NA	TTS (AT2G39760.1)	TTS (AT2G39760.1)	-1595	AT2G39770	818562	At.10348	NM_001202784		CYT1	CYTOKINESIS DEFECTIVE 1|EMB101|EMBRYO DEFECTIVE 101|GDP-MANNOSE PYROPHOSPHORYLASE 1|GMP1|SENSITIVE TO OZONE 1|SOZ1|T5I7.7|T5I7_7|VITAMIN C DEFECTIVE 1|VTC1	mannose-1-phosphate guanylyltransferase	protein-coding
R-438	Chr2	9921918	9922274	+	14,7348	NA	Intergenic	Intergenic	-2837	AT2G23320	816864	At.24883	NM_127896		WRKY15	T20D16.5|T20D16_5|WRKY DNA-binding protein 15	putative WRKY transcription factor 15	protein-coding
R-439	Chr1	5531962	5532316	+	14,6257	NA	promoter-TSS (AT1G16150.1)	promoter-TSS (AT1G16150.1)	-276	AT1G16150	838184	At.51630	NM_101482		WAKL4	T24D18.23|T24D18_23|wall associated kinase-like 4	wall associated kinase-like 4	protein-coding
R-440	Chr5	24480125	24480487	+	14,6257	NA	promoter-TSS (AT5G60850.1)	promoter-TSS (AT5G60850.1)	-143	AT5G60850	836206	At.20219	NM_125478		OBP4	MAE1.2|MAE1_2|OBF binding protein 4|ZINC FINGER PROTEIN OBP4	Dof zinc finger protein DOF5.4	protein-coding
R-441	Chr4	16647223	16647876	+	14,6257	NA	Intergenic	Intergenic	-1056	AT4G34960	829648	At.31457	NM_119662		AT4G34960	M4E13.20|M4E13_20	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein	protein-coding
R-442	Chr1	28315454	28316241	+	14,5165	NA	TTS (AT1G75440.1)	TTS (AT1G75440.1)	2360	AT1G75440	843880	At.28601	NM_106198		UBC16	F1B16.3|F1B16_3|ubiquitin-conjugating enzyme 16	putative ubiquitin-conjugating enzyme E2 16	protein-coding
R-447	Chr2	17838134	17838607	+	14,5165	NA	Intergenic	Intergenic	-1120	AT2G42870	818887	At.43188	NM_129848		PAR1	F7D19.13|F7D19_13|HELIX-LOOP-HELIX 1|HLH1|PHY RAPIDLY REGULATED 1	phy rapidly regulated 1	protein-coding
R-449	Chr4	12166860	12167452	+	14,4074	NA	promoter-TSS (AT4G23250.1)	promoter-TSS (AT4G23250.1)	-130	AT4G23250	828424	At.32454	NM_118454		EMB1290	CRK17|CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 17|DUF26-21|EMBRYO DEFECTIVE 1290|F21P8.140|F21P8_140|RECEPTOR-LIKE KINASE THALIANACOL-0GENOMICLIBRARY(CLONTECH).THEPOSITIVEPHAGECLONES C-X8-C-X2-C CLASS 1|RKC1	cysteine-rich receptor-like protein kinase 17	protein-coding
R-45	Chr2	7223608	7224276	+	41,1484	NA	TTS (AT2G16668.1)	TTS (AT2G16668.1)	106	AT2G16668	6240569	At.73774	NM_001124858		AT2G16668	-	hypothetical protein	protein-coding
R-451	Chr2	15057161	15057342	+	14,4074	NA	TTS (AT2G35850.1)	TTS (AT2G35850.1)	498	AT2G35850	818158	At.75613	NM_129144		AT2G35850	F11F19.24|F11F19_24	hypothetical protein	protein-coding
R-452	Chr2	641392	641953	+	14,4074	NA	Intergenic	Intergenic	3660	AT2G02440	814774	At.52601	NM_126300		AT2G02440	T16F16.23|T16F16_23	hypothetical protein	protein-coding
R-453	Chr1	20073501	20073624	+	14,2983	NA	TTS (AT1G53780.1)	TTS (AT1G53780.1)	167	AT1G53770	841814	At.37338	NM_001198286		AT1G53770	T18A20.22|T18A20_22	peptide-O-fucosyltransferase	protein-coding
R-454	Chr5	8548438	8548886	+	14,2983	NA	promoter-TSS (AT5G24870.1)	promoter-TSS (AT5G24870.1)	-873	AT5G24870	832556	At.23213	NM_122396		AT5G24870	F6A4.80|F6A4_80	RING/U-box domain-containing protein	protein-coding
R-455	Chr3	23025908	23026154	+	14,2983	NA	promoter-TSS (AT3G62200.1)	promoter-TSS (AT3G62200.1)	-299	AT3G62200	825393	At.34162	NM_116085		AT3G62200	-	Putative endonuclease or glycosyl hydrolase	protein-coding
R-457	Chr1	26790176	26790683	+	14,1891	NA	promoter-TSS (AT1G71015.1)	promoter-TSS (AT1G71015.1)	-269	AT1G71015	843441	At.45168	NM_148647		AT1G71015	-	hypothetical protein	protein-coding
R-458	Chr1	24974640	24975018	+	14,1891	NA	promoter-TSS (AT1G66940.1)	promoter-TSS (AT1G66940.1)	-38	AT1G66940	843012	At.35714	NM_001036167		AT1G66940	T4O24.1|T4O24_1	protein kinase-related protein	protein-coding
R-459	Chr1	8193373	8194067	+	14,1891	NA	Intergenic	Intergenic	-2056	AT1G23100	838918	At.50783	NM_102158		AT1G23100	T26J12.12|T26J12_12	GroES-like protein	protein-coding
R-461	Chr5	26096407	26097020	+	14,1891	NA	promoter-TSS (AT5G65300.1)	promoter-TSS (AT5G65300.1)	854	AT5G65305	3771560				AT5G65305	67923.TRNA-MET-1	tRNA	tRNA
R-462	Chr5	24765191	24765591	+	14,1891	NA	promoter-TSS (AT5G61590.1)	promoter-TSS (AT5G61590.1)	-67	AT5G61590	836280	At.24138	NM_125552		AT5G61590	K11J9.4|K11J9_4	ethylene-responsive transcription factor ERF107	protein-coding
R-464	Chr3	6343993	6344603	+	14,1891	NA	Intergenic	Intergenic	-1120	AT3G18485	821378	At.53372	NM_148731		ILR2	IAA-LEUCINE RESISTANT 2	iaa-leucine resistant 2	protein-coding
R-465	Chr3	2636921	2637273	+	14,1891	NA	promoter-TSS (AT3G08680.1)	promoter-TSS (AT3G08680.1)	-463	AT3G08680	820015	At.22405	NM_111702		AT3G08680	-	putative inactive receptor kinase	protein-coding
R-467	Chr1	7438861	7439421	+	14,08	NA	promoter-TSS (AT1G21250.1)	promoter-TSS (AT1G21250.1)	-125	AT1G21250	838721	At.23880	NM_101978		WAK1	F16F4.6|F16F4_6|PRO25|SERINE THREONINE KINASE|cell wall-associated kinase	wall-associated receptor kinase 1	protein-coding
R-469	Chr5	24063538	24064417	+	14,08	NA	promoter-TSS (AT5G59732.1)	promoter-TSS (AT5G59732.1)	-501	AT5G59732	5008316				AT5G59732	-	ncRNA	ncRNA
R-470	Chr4	17289965	17290342	+	14,08	NA	promoter-TSS (AT4G36670.1)	promoter-TSS (AT4G36670.1)	-563	AT4G36670	829820	At.31306	NM_119831		AT4G36670	AP22.86|AP22_86	putative polyol transporter 6	protein-coding
R-471	Chr4	9252185	9252558	+	14,08	NA	Intergenic	Intergenic	-2184	AT4G16380	2745712	At.24999	NM_001125518		AT4G16380	-	metal ion binding protein	protein-coding
R-472	Chr3	20686760	20687198	+	14,08	NA	Intergenic	Intergenic	-2926	AT3G55730	824739	At.1704	NM_115431		MYB109	AtMYB109|myb domain protein 109	myb domain protein 109	protein-coding
R-473	Chr1	29743334	29743955	+	13,9708	NA	TTS (AT1G79060.1)	TTS (AT1G79060.1)	1896	AT1G79060	844247	At.34186	NM_106557		AT1G79060	YUP8H12R.32|YUP8H12R_32	hypothetical protein	protein-coding
R-474	Chr1	25710919	25711955	+	13,9708	NA	promoter-TSS (AT1G68520.1)	promoter-TSS (AT1G68520.1)	-530	AT1G68520	843181	At.74856	NM_105523		AT1G68520	T26J14.9|T26J14_9	zinc finger protein CONSTANS-LIKE 6	protein-coding
R-475	Chr5	25241134	25241442	+	13,9708	NA	Intergenic	Intergenic	-1963	AT5G62890	836409	At.8485	NM_001037050		AT5G62890	MQB2.190|MQB2_190	nucleobase-ascorbate transporter 6	protein-coding
R-477	Chr4	10650031	10650354	+	13,9708	NA	Intergenic	Intergenic	-1552	AT4G19530	827695	At.32809	NM_118073		AT4G19530	F24J7.90|F24J7_90	TIR-NBS-LRR class disease resistance protein	protein-coding
R-478	Chr3	11798619	11798853	+	13,9708	NA	Intergenic	Intergenic	4834	AT3G30170	3769062				AT3G30170	-	pseudo	pseudo
R-479	Chr2	12834819	12834972	+	13,9708	NA	promoter-TSS (AT2G30070.1)	promoter-TSS (AT2G30070.1)	-98	AT2G30070	817558	At.66278	NM_128562		KT1	ATKT1|ATKT1P|ATKUP1|KUP1|POTASSIUM TRANSPORTER KUP1|POTASSIUM UPTAKE TRANSPORTER 1|T27E13.19|T27E13_19|potassium transporter 1	potassium transporter 1	protein-coding
R-480	Chr2	11337390	11337526	+	13,9708	NA	promoter-TSS (AT2G26650.1)	promoter-TSS (AT2G26650.1)	-851	AT2G26650	817206	At.68413	NM_128222		KT1	AKT1|ATAKT1|F18A8.2|F18A8_2|K+ transporter 1|POTASSIUM TRANSPORTER	Potassium channel AKT1	protein-coding
R-482	Chr1	894265	894446	+	13,8617	NA	TTS (AT1G03580.1)	TTS (AT1G03580.1)	1508	AT1G03580	3766651				AT1G03580	-	pseudo	pseudo
R-483	Chr5	24641635	24642231	+	13,8617	NA	Intergenic	Intergenic	-1333	AT5G61270	836248	At.29114	NM_001037040		PIF7	MFB13.4|MFB13_4|phytochrome-interacting factor7	transcription factor PIF7	protein-coding
R-485	Chr4	11644581	11644987	+	13,8617	NA	TTS (AT4G21950.1)	TTS (AT4G21950.1)	566	AT4G21950	828284	At.54463	NM_118316		AT4G21950	F1N20.4	hypothetical protein	protein-coding
R-487	Chr3	6841933	6842590	+	13,8617	NA	TTS (AT3G19680.1)	TTS (AT3G19680.1)	595	AT3G19690	821506	At.75495	NM_112859		AT3G19690	-	putative pathogenesis-related protein	protein-coding
R-488	Chr1	24043241	24043513	+	13,7525	NA	Intergenic	Intergenic	-1168	AT1G64710	842779	At.28546	NM_001084304		AT1G64710	F13O11.3|F13O11_3	putative alcohol dehydrogenase	protein-coding
R-489	Chr1	9777884	9778088	+	13,7525	NA	promoter-TSS (AT1G28050.1)	promoter-TSS (AT1G28050.1)	-176	AT1G28050	839698	At.19754	NM_102570		AT1G28050	F13K9.15|F13K9_15	zinc finger protein CONSTANS-LIKE 15	protein-coding
R-492	Chr5	26849861	26850228	+	13,7525	NA	promoter-TSS (AT5G67290.1)	promoter-TSS (AT5G67290.1)	-198	AT5G67290	836864	At.43255	NM_126129		AT5G67290	K8K14.1|K8K14_1	FAD-dependent oxidoreductase-like protein	protein-coding
R-494	Chr5	23873974	23874320	+	13,7525	NA	promoter-TSS (AT5G59130.1)	promoter-TSS (AT5G59130.1)	-427	AT5G59130	836031	At.29243	NM_001203639		AT5G59130	MNC17.3|MNC17_3	Subtilase family protein	protein-coding
R-495	Chr4	17761691	17762640	+	13,7525	NA	Intergenic	Intergenic	-2608	AT4G37780	829934	At.10923	NM_119940		MYB87	ATMYB87|T28I19.60|T28I19_60|myb domain protein 87	myb domain protein 87	protein-coding
R-497	Chr2	11813214	11813728	+	13,7525	NA	TTS (AT2G27700.1)	TTS (AT2G27700.1)	2531	AT2G27700	817316	At.52942	NM_001124927		AT2G27700	F15K20.20|F15K20_20	putative translation initiation factor IF-2	protein-coding
R-500	Chr5	25039626	25040560	+	13,6434	NA	promoter-TSS (AT5G62360.1)	promoter-TSS (AT5G62360.1)	-556	AT5G62360	836357	At.29053	NM_125630		AT5G62360	MMI9.1|MMI9_1	plant invertase/pectin methylesterase inhibitor domain-containing protein	protein-coding
R-502	Chr5	20861912	20862122	+	13,6434	NA	promoter-TSS (AT5G51330.1)	promoter-TSS (AT5G51330.1)	-306	AT5G51330	835207	At.26280	NM_124512		SWI1	DYAD|MFG13.3|MFG13_3|SWITCH1	protein SWITCH1 (protein DYAD)	protein-coding
R-503	Chr5	18213580	18214209	+	13,6434	NA	Intergenic	Intergenic	-4692	AT5G45100	834543	At.26652	NM_123878		AT5G45100	K17O22.9|K17O22_9	S-ribonuclease binding protein	protein-coding
R-504	Chr4	17748343	17749018	+	13,6434	NA	Intergenic	Intergenic	-3404	AT4G37770	829933	At.2875	NM_119939		ACS8	1-amino-cyclopropane-1-carboxylate synthase 8|T28I19.50|T28I19_50	1-aminocyclopropane-1-carboxylate synthase 8	protein-coding
R-506	Chr3	22142120	22142801	+	13,6434	NA	promoter-TSS (AT3G59940.1)	promoter-TSS (AT3G59940.1)	-440	AT3G59940	825164	At.48785	NM_115857		AT3G59940	-	F-box/kelch-repeat protein SKIP20	protein-coding
R-507	Chr3	8595274	8595666	+	13,6434	NA	Intergenic	Intergenic	-5757	AT3G23810	821964	At.67005	NM_113286		SAHH2	ATSAHH2|S-ADENOSYL-L-HOMOCYSTEINE (SAH) HYDROLASE 2|S-adenosyl-l-homocysteine (SAH) hydrolase 2	adenosylhomocysteinase 2	protein-coding
R-508	Chr3	4825275	4825748	+	13,6434	NA	promoter-TSS (AT3G14430.1)	promoter-TSS (AT3G14430.1)	309	AT3G14431	6240352	At.73675	NM_001125152		AT3G14431	-	hypothetical protein	protein-coding
R-509	Chr3	1291660	1292239	+	13,6434	NA	TTS (AT3G04732.1)	TTS (AT3G04732.1)	333	AT3G04732	6240428	At.73692	NM_001125100		AT3G04732	-	hypothetical protein	protein-coding
R-51	Chr3	5730773	5731553	+	37,9832	NA	promoter-TSS (AT3G16830.1)	promoter-TSS (AT3G16830.1)	-371	AT3G16830	820936	At.24033	NM_112557		TPR2	TOPLESS-related 2	Topless-related 2 protein	protein-coding
